record_num,data_source,source_page,phylum,class,order,family,genus,species,habitat,source,life hist,geo_location,lat,long,acclim_type,acclim_period,trait_category,trait,details,temp_1,temp_2,r1.1,r1.1_se,r1.1_N,r1.1_CV,r1.1_logCV,r1.2,r1.2_se,r1.2_N,r1.2_CV,r1.2_logCV,r2.1,r2.1_se,r2.1_N,r2.1_CV,r2.1_logCV,r2.2,r2.2_se,r2.2_N,r2.2_CV,r2.2_logCV,units,notes
p001_o,NA,NA,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,holbrooki,f,w,a,"Aigues-Mortes, France",43,4,1,35,other,swim,sperm,18,30,0.81,0.02,10,0.07,-2.66,1.23,0.02,10,0.05,-2.96,1.04,0.02,10,0.06,-2.87,1.7,0.04,10,0.07,-2.68,,
p002_o,NA,NA,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,f,c,j,"Kontiolahti, Finland",62.75,29.8,1,28,cardiac,heart rate,heart,4,17,32,1,15,0.12,-2.11,75,4,15,0.21,-1.58,25,1,15,0.15,-1.86,88,2,15,0.09,-2.43,in beats/min,
p002_o,NA,NA,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,f,c,a,"Joensuu, Finland",62.6,29.75,1,28,ATPase,myofibrillar ATPase,atrium,4,17,0.08,0.01,6,0.41,-0.88,0.52,0.02,6,0.1,-2.31,0.03,0,6,0.23,-1.47,0.39,0.05,6,0.28,-1.26,in umol/mg protein x min,
p002_o,NA,NA,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,f,c,a,"Joensuu, Finland",62.6,29.75,1,28,ATPase,myofibrillar ATPase,ventricle,4,17,0.05,0.01,6,0.63,-0.47,0.16,0.03,6,0.44,-0.82,0.05,0.01,6,0.38,-0.96,0.23,0.02,6,0.21,-1.56,in umol/mg protein x min,
p003_o,NA,NA,Mollusca,Bivalvia,Veneroida,Dreissenidae,Dreissena,polymorpha,f,w,a,"Lake Erie, Buffalo, New York",42.854909,-78.917256,1,42,rest_MR,MR,rest,20,24,1.62,0.09,19,0.24,-1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.45,0.11,19,0.2,-1.63,ug/mg/h,
p003_o,NA,NA,Mollusca,Bivalvia,Veneroida,Dreissenidae,Dreissena,polymorpha,f,w,a,"Lake Erie, Buffalo, New York",42.854909,-78.917256,1,42,rest_MR,MR,rest,20,28,1.62,0.09,19,0.24,-1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.21,0.3,20,0.32,-1.14,ug/mg/h,
p003_o,NA,NA,Mollusca,Bivalvia,Veneroida,Dreissenidae,Dreissena,polymorpha,f,w,a,"Lake Erie, Buffalo, New York",42.854909,-78.917256,1,42,rest_MR,MR,rest,20,32,1.62,0.09,19,0.24,-1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.92,0.51,20,0.39,-0.95,ug/mg/h,
p004_o,NA,NA,Mollusca,Bivalvia,Veneroida,Dreissenidae,Dreissena,polymorpha,f,w,a,"Monroe, Michigan, USA",41.8,-83.4,1,14,rest_MR,MR,routine,5,25,0.14,0.02,12,0.54,-0.62,0.83,0.06,12,0.25,-1.38,0.06,0.03,12,1.73,0.55,0.82,0.08,12,0.32,-1.14,,
p005_o,NA,NA,Mollusca,Bivalvia,Veneroida,Dreissenidae,Dreissena,polymorpha,f,w,a,"Lake Erie, Ohio river",42.2,-81.2,1,14,rest_MR,MR,rest,10,18,0.65,0.01,10,0.05,-3.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.03,10,0.12,-2.13,ul/mg/h,
p005_o,NA,NA,Mollusca,Bivalvia,Veneroida,Dreissenidae,Dreissena,polymorpha,f,w,a,"Lake Erie, Ohio river",42.2,-81.2,1,14,rest_MR,MR,rest,18,26,0.8,0.03,10,0.12,-2.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75,0.12,10,0.22,-1.53,ul/mg/h,
p005_o,NA,NA,Mollusca,Bivalvia,Veneroida,Dreissenidae,Dreissena,polymorpha,f,w,a,"Lake Erie, Ohio river",42.2,-81.2,1,14,rest_MR,MR,rest,10,26,0.65,0.01,10,0.05,-3.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75,0.12,10,0.22,-1.53,ul/mg/h,
p006_o,NA,NA,Chordata,Reptilia,Squamata,Scincidae,Chalcides,ocellatus,t,w,a,Egypt,30.05,31.233333,1,17,rest_MR,MR,rest,10,30,0.02,0,12,0.21,-1.58,0.1,0.01,12,0.22,-1.49,0.02,0,10,0.14,-1.99,0.11,0,10,0.12,-2.09,ml/g/h,
p006_o,NA,NA,Chordata,Reptilia,Squamata,Lacertidae,Lacerta,vivipara,t,w,a,"New Forest, England",50.879,-1.633,1,15,rest_MR,MR,rest,10,30,0.09,0.01,10,0.23,-1.47,0.32,0.02,10,0.17,-1.78,0.05,0,10,0.2,-1.58,0.22,0.01,10,0.15,-1.89,ml/g/h,
p006_o,NA,NA,Chordata,Reptilia,Squamata,Lacertidae,Lacerta,vivipara,t,w,j,"New Forest, England",50.879,-1.633,1,16,rest_MR,MR,rest,10,30,0.12,0.02,8,0.4,-0.91,0.46,0.01,10,0.09,-2.4,0.07,0,5,0.15,-1.92,0.31,0.03,5,0.21,-1.57,ml/g/h,
