"record_num","habitat","source","life.hist","lat","long","acclim_type","acclim_period","trait_category","trait","temp_1","temp_2","r1.1","r1.1_N","r1.2","r1.2_N","r2.1","r2.1_N","r2.2","r2.2_N","units","species_full","r1.1_sd","r1.2_sd","r2.1_sd","r2.2_sd","lnRR_Q10_acute_t1","V_lnRR_Q10_acute_t1","lnRR_Q10_acute_t2","V_lnRR_Q10_acute_t2","lnRR_Q10_acclim","V_lnRR_Q10_acclim","lnVR_Q10_acute_t1","V_lnVR_Q10_acute_t1","lnVR_Q10_acute_t2","V_lnVR_Q10_acute_t2","lnVR_Q10_acclim","V_lnVR_Q10_acclim","lnCVR_Q10_acute_t1","V_lnCVR_Q10_acute_t1","lnCVR_Q10_acute_t2","V_lnCVR_Q10_acute_t2","lnCVR_Q10_acclim","V_lnCVR_Q10_acclim","obs"
"p001_o","f","w","a",43.58606607,4.17471883,1,35,"other","swim",18,30,0.81,10,1.23,10,1.04,10,1.7,10,"","Gambusia holbrooki",0.0632455532033676,0.0632455532033676,0.0632455532033676,0.126491106406735,0.348112667249982,0.000606983367315839,0.409506281590741,0.000641288682777903,0.617791068648186,0.000807844707705952,0,0.0771604938271605,0.577622650466621,0.0771604938271605,0.577622650466621,0.0771604938271605,-0.348112667249982,0.0777674771944763,0.16811636887588,0.0778017825099384,-0.0401684181815646,0.0779683385348665,1
"p002_o","f","c","j",62.75,29.8,1,28,"cardiac","heart rate",4,17,32,15,75,15,25,15,88,15,"in beats/min","Oncorhynchus mykiss",3.87298334620742,15.4919333848297,3.87298334620742,7.74596669241483,0.655194008258911,0.00226095085470086,0.96804691508462,0.00125238397965671,0.778154547444985,0.000883486050662624,1.06638027778453,0.0422654268808115,0.533190138892266,0.0422654268808115,0.533190138892266,0.0422654268808115,0.411186269525621,0.0445263777355124,-0.434856776192354,0.0435178108604682,-0.244964408552719,0.0431489129314741,2
"p002_o","f","c","a",62.6,29.75,1,28,"ATPase","myofibrillar ATPase",4,17,0.05,6,0.16,6,0.05,6,0.23,6,"in umol/mg protein x min","Oncorhynchus mykiss",0.0244948974278318,0.0734846922834953,0.0244948974278318,0.0489897948556636,0.894731392158216,0.0444711538461538,1.17388946422696,0.0281428619366674,1.17388946422696,0.0281428619366674,0.845086375898546,0.118343195266272,0.533190138892266,0.118343195266272,0.533190138892266,0.118343195266272,-0.0496450162596701,0.162814349112426,-0.640699325334695,0.14648605720294,-0.640699325334695,0.14648605720294,4
"p003_o","f","w","a",42.854909,-78.917256,1,42,"rest_MR","MR",20,24,1.62,19,NA,NA,NA,NA,2.45,19,"ug/mg/h","Dreissena polymorpha",0.392300904918661,NA,NA,0.479478883789474,NA,NA,NA,NA,1.03415468828086,0.0318890405746577,NA,NA,NA,NA,0.501676738655378,0.347222222222222,NA,NA,NA,NA,-0.53247794962548,0.37911126279688,5
"p003_o","f","w","a",42.854909,-78.917256,1,42,"rest_MR","MR",20,28,1.62,19,NA,NA,NA,NA,4.21,20,"ug/mg/h","Dreissena polymorpha",0.392300904918661,NA,NA,1.34164078649987,NA,NA,NA,NA,1.1937956230625,0.0127566431745546,NA,NA,NA,NA,1.53702431439964,0.0845211988304094,NA,NA,NA,NA,0.343228691337142,0.097277842004964,6
"p003_o","f","w","a",42.854909,-78.917256,1,42,"rest_MR","MR",20,32,1.62,19,NA,NA,NA,NA,5.92,20,"ug/mg/h","Dreissena polymorpha",0.392300904918661,NA,NA,2.28078933704979,NA,NA,NA,NA,1.07992524970968,0.00729722876185746,NA,NA,NA,NA,1.4668730854849,0.0375649772579597,NA,NA,NA,NA,0.386947835775217,0.0448622060198172,7
"p004_o","f","w","a",41.8,-83.4,1,14,"rest_MR","MR",5,25,0.14,12,0.83,12,0.06,12,0.82,12,"","Dreissena polymorpha",0.0692820323027551,0.207846096908265,0.103923048454133,0.27712812921102,0.88989163909067,0.00640847135776941,1.3074798890181,0.0648795359904818,0.883830958824497,0.00748157680680839,0.549306144334055,0.0227272727272727,0.490414626505863,0.0227272727272727,0.693147180559945,0.0227272727272727,-0.340585494756615,0.0291357440850421,-0.817065262512236,0.0876068087177546,-0.190683778264552,0.0302088495340811,8
"p005_o","f","w","a",42.2,-81.2,1,14,"rest_MR","MR",10,18,0.65,10,NA,NA,NA,NA,0.8,10,"ul/mg/h","Dreissena polymorpha",0.0316227766016838,NA,NA,0.0948683298050514,NA,NA,NA,NA,0.259549205972806,0.0025670881102071,NA,NA,NA,NA,1.37326536083514,0.173611111111111,NA,NA,NA,NA,1.11371615486233,0.176178199221318,9
"p005_o","f","w","a",42.2,-81.2,1,14,"rest_MR","MR",18,26,0.8,10,NA,NA,NA,NA,1.75,10,"ul/mg/h","Dreissena polymorpha",0.0948683298050514,NA,NA,0.379473319220206,NA,NA,NA,NA,0.978449174062041,0.0095442044005102,NA,NA,NA,NA,1.73286795139986,0.173611111111111,NA,NA,NA,NA,0.754418777337823,0.183155315511621,10
"p005_o","f","w","a",42.2,-81.2,1,14,"rest_MR","MR",10,26,0.65,10,NA,NA,NA,NA,1.75,10,"ul/mg/h","Dreissena polymorpha",0.0316227766016838,NA,NA,0.379473319220206,NA,NA,NA,NA,0.618999190017423,0.00192919031517933,NA,NA,NA,NA,1.5530666561175,0.0434027777777778,NA,NA,NA,NA,0.934067466100077,0.0453319680929571,11
"p007_o","m","w","a",44.398253,-68.555902,1,14,"rest_MR","MR",10,20,0.2,8,0.4,8,0.16,8,0.35,8,"ml/g/h","Mya arenaria",0.14142135623731,0.113137084989848,0.14142135623731,0.113137084989848,0.693147180559945,0.0725,0.782759339249632,0.110717474489796,0.559615787935423,0.0755612244897959,-0.22314355131421,0.142857142857143,-0.22314355131421,0.142857142857143,-0.22314355131421,0.142857142857143,-0.916290731874155,0.215357142857143,-1.00590289056384,0.253574617346939,-0.782759339249632,0.218418367346939,15
"p007_o","m","w","a",44.398253,-68.555902,1,14,"rest_MR","MR",10,20,0.12,8,0.45,8,0.11,8,0.2,8,"ml/g/h","Mya arenaria",0.0848528137423857,0.197989898732233,0.0848528137423857,0.0565685424949238,1.32175583998232,0.0866975308641975,0.59783700075562,0.0843801652892562,0.510825623765991,0.0725,0.847297860387204,0.142857142857143,-0.405465108108164,0.142857142857143,-0.405465108108164,0.142857142857143,-0.474457979595116,0.22955467372134,-1.00330210886378,0.227237308146399,-0.916290731874155,0.215357142857143,16
"p007_o","m","w","a",44.398253,-68.555902,1,14,"rest_MR","MR",10,20,0.35,8,0.4,8,0.11,8,0.25,8,"ml/g/h","Mya arenaria",0.113137084989848,0.0848528137423857,0.14142135623731,0.0848528137423857,0.133531392624523,0.0186862244897959,0.82098055206983,0.221011570247934,-0.336472236621213,0.0274612244897959,-0.287682072451781,0.142857142857143,-0.510825623765991,0.142857142857143,-0.287682072451781,0.142857142857143,-0.421213465076304,0.161543367346939,-1.33180617583582,0.363868713105077,0.0487901641694318,0.170318367346939,17
"p007_o","m","w","a",44.398253,-68.555902,1,14,"rest_MR","MR",10,20,0.4,8,0.3,8,0.2,8,0.22,8,"ml/g/h","Mya arenaria",0.169705627484771,0.169705627484771,0.14142135623731,0.14142135623731,-0.287682072451781,0.0625,0.0953101798043247,0.114152892561984,-0.59783700075562,0.0741528925619835,0,0.142857142857143,0,0.142857142857143,-0.182321556793954,0.142857142857143,0.287682072451781,0.205357142857143,-0.0953101798043246,0.257010035419126,0.415515443961666,0.217010035419126,18
"p008_o","m","w","j",36.52061,-6.299451,1,21,"ATPase","Na-K-ATPase",12,26,2.8,10,NA,NA,NA,NA,13,10,"","Solea senegalensis",0.948683298050514,NA,NA,3.16227766016838,NA,NA,NA,NA,1.09666424305741,0.00887589367349403,NA,NA,NA,NA,0.859980574518526,0.0566893424036281,NA,NA,NA,NA,-0.236683668538888,0.0655652360771222,19
"p008_o","m","w","j",36.52061,-6.299451,1,21,"ATPase","Na-K-ATPase",12,26,2,10,NA,NA,NA,NA,6.2,10,"","Solea senegalensis",0.632455532033676,NA,NA,0.632455532033676,NA,NA,NA,NA,0.808144365350786,0.00563295037057487,NA,NA,NA,NA,0,0.0566893424036281,NA,NA,NA,NA,-0.808144365350786,0.062322292774203,20
"p009_o","f","c","a",NA,NA,1,7,"rest_MR","MR",10,20,7.4,NA,12,NA,3.5,NA,8,NA,"ug/mg dry/hr","Daphnia ambigua",NA,NA,NA,NA,0.483426649577876,NA,0.826678573184468,NA,0.0779615414697117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
