"record_num","phylum","class","order","family","habitat","source","life.hist","lat","long","acclim_type","acclim_period","trait_category","trait","temp_1","temp_2","r1.1","r1.1_N","r1.2","r1.2_N","r2.1","r2.1_N","r2.2","r2.2_N","units","species_full","r1.2_sd","r2.2_sd","lnCVR_Q10_acute_t2","lnCVR_Q10_acclim","obs","name","effect_size","V","type"
"p001_o","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","f","w","a",43.58606607,4.17471883,1,35,"other","swim",18,30,0.81,10,1.23,10,1.04,10,1.7,10,"","Gambusia holbrooki",0.0632455532033676,0.126491106406735,0.16811636887588,-0.0401684181815646,1,"r1.1_sd",0.0632455532033676,0.0779683385348665,"acclim"
"p001_o","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","f","w","a",43.58606607,4.17471883,1,35,"other","swim",18,30,0.81,10,1.23,10,1.04,10,1.7,10,"","Gambusia holbrooki",0.0632455532033676,0.126491106406735,0.16811636887588,-0.0401684181815646,2,"r2.1_sd",0.0632455532033676,0.0779683385348665,"acclim"
"p001_o","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","f","w","a",43.58606607,4.17471883,1,35,"other","swim",18,30,0.81,10,1.23,10,1.04,10,1.7,10,"","Gambusia holbrooki",0.0632455532033676,0.126491106406735,0.16811636887588,-0.0401684181815646,3,"lnRR_Q10_acute_t1",0.348112667249982,0.000606983367315839,"acute"
"p001_o","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","f","w","a",43.58606607,4.17471883,1,35,"other","swim",18,30,0.81,10,1.23,10,1.04,10,1.7,10,"","Gambusia holbrooki",0.0632455532033676,0.126491106406735,0.16811636887588,-0.0401684181815646,4,"lnRR_Q10_acute_t2",0.409506281590741,0.000641288682777903,"acute"
"p001_o","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","f","w","a",43.58606607,4.17471883,1,35,"other","swim",18,30,0.81,10,1.23,10,1.04,10,1.7,10,"","Gambusia holbrooki",0.0632455532033676,0.126491106406735,0.16811636887588,-0.0401684181815646,5,"lnRR_Q10_acclim",0.617791068648186,0.000807844707705952,"acclim"
"p001_o","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","f","w","a",43.58606607,4.17471883,1,35,"other","swim",18,30,0.81,10,1.23,10,1.04,10,1.7,10,"","Gambusia holbrooki",0.0632455532033676,0.126491106406735,0.16811636887588,-0.0401684181815646,6,"lnVR_Q10_acute_t1",0,0.0771604938271605,"acute"
"p001_o","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","f","w","a",43.58606607,4.17471883,1,35,"other","swim",18,30,0.81,10,1.23,10,1.04,10,1.7,10,"","Gambusia holbrooki",0.0632455532033676,0.126491106406735,0.16811636887588,-0.0401684181815646,7,"lnVR_Q10_acute_t2",0.577622650466621,0.0771604938271605,"acute"
"p001_o","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","f","w","a",43.58606607,4.17471883,1,35,"other","swim",18,30,0.81,10,1.23,10,1.04,10,1.7,10,"","Gambusia holbrooki",0.0632455532033676,0.126491106406735,0.16811636887588,-0.0401684181815646,8,"lnVR_Q10_acclim",0.577622650466621,0.0771604938271605,"acclim"
"p001_o","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","f","w","a",43.58606607,4.17471883,1,35,"other","swim",18,30,0.81,10,1.23,10,1.04,10,1.7,10,"","Gambusia holbrooki",0.0632455532033676,0.126491106406735,0.16811636887588,-0.0401684181815646,9,"lnCVR_Q10_acute_t1",-0.348112667249982,0.0777674771944763,"acute"
"p002_o","Chordata","Actinopterygii","Salmoniformes","Salmonidae","f","c","j",62.75,29.8,1,28,"cardiac","heart rate",4,17,32,15,75,15,25,15,88,15,"in beats/min","Oncorhynchus mykiss",15.4919333848297,7.74596669241483,-0.434856776192354,-0.244964408552719,10,"r1.1_sd",3.87298334620742,0.0431489129314741,"acclim"
"p002_o","Chordata","Actinopterygii","Salmoniformes","Salmonidae","f","c","j",62.75,29.8,1,28,"cardiac","heart rate",4,17,32,15,75,15,25,15,88,15,"in beats/min","Oncorhynchus mykiss",15.4919333848297,7.74596669241483,-0.434856776192354,-0.244964408552719,11,"r2.1_sd",3.87298334620742,0.0431489129314741,"acclim"
"p002_o","Chordata","Actinopterygii","Salmoniformes","Salmonidae","f","c","j",62.75,29.8,1,28,"cardiac","heart rate",4,17,32,15,75,15,25,15,88,15,"in beats/min","Oncorhynchus mykiss",15.4919333848297,7.74596669241483,-0.434856776192354,-0.244964408552719,12,"lnRR_Q10_acute_t1",0.655194008258911,0.00226095085470086,"acute"
"p002_o","Chordata","Actinopterygii","Salmoniformes","Salmonidae","f","c","j",62.75,29.8,1,28,"cardiac","heart rate",4,17,32,15,75,15,25,15,88,15,"in beats/min","Oncorhynchus mykiss",15.4919333848297,7.74596669241483,-0.434856776192354,-0.244964408552719,13,"lnRR_Q10_acute_t2",0.96804691508462,0.00125238397965671,"acute"
"p002_o","Chordata","Actinopterygii","Salmoniformes","Salmonidae","f","c","j",62.75,29.8,1,28,"cardiac","heart rate",4,17,32,15,75,15,25,15,88,15,"in beats/min","Oncorhynchus mykiss",15.4919333848297,7.74596669241483,-0.434856776192354,-0.244964408552719,14,"lnRR_Q10_acclim",0.778154547444985,0.000883486050662624,"acclim"
"p002_o","Chordata","Actinopterygii","Salmoniformes","Salmonidae","f","c","j",62.75,29.8,1,28,"cardiac","heart rate",4,17,32,15,75,15,25,15,88,15,"in beats/min","Oncorhynchus mykiss",15.4919333848297,7.74596669241483,-0.434856776192354,-0.244964408552719,15,"lnVR_Q10_acute_t1",1.06638027778453,0.0422654268808115,"acute"
"p002_o","Chordata","Actinopterygii","Salmoniformes","Salmonidae","f","c","j",62.75,29.8,1,28,"cardiac","heart rate",4,17,32,15,75,15,25,15,88,15,"in beats/min","Oncorhynchus mykiss",15.4919333848297,7.74596669241483,-0.434856776192354,-0.244964408552719,16,"lnVR_Q10_acute_t2",0.533190138892266,0.0422654268808115,"acute"
"p002_o","Chordata","Actinopterygii","Salmoniformes","Salmonidae","f","c","j",62.75,29.8,1,28,"cardiac","heart rate",4,17,32,15,75,15,25,15,88,15,"in beats/min","Oncorhynchus mykiss",15.4919333848297,7.74596669241483,-0.434856776192354,-0.244964408552719,17,"lnVR_Q10_acclim",0.533190138892266,0.0422654268808115,"acclim"
"p002_o","Chordata","Actinopterygii","Salmoniformes","Salmonidae","f","c","j",62.75,29.8,1,28,"cardiac","heart rate",4,17,32,15,75,15,25,15,88,15,"in beats/min","Oncorhynchus mykiss",15.4919333848297,7.74596669241483,-0.434856776192354,-0.244964408552719,18,"lnCVR_Q10_acute_t1",0.411186269525621,0.0445263777355124,"acute"
"p002_o","Chordata","Actinopterygii","Salmoniformes","Salmonidae","f","c","a",62.6,29.75,1,28,"ATPase","myofibrillar ATPase",4,17,0.05,6,0.16,6,0.05,6,0.23,6,"in umol/mg protein x min","Oncorhynchus mykiss",0.0734846922834953,0.0489897948556636,-0.640699325334695,-0.640699325334695,19,"r1.1_sd",0.0244948974278318,0.14648605720294,"acclim"
"p002_o","Chordata","Actinopterygii","Salmoniformes","Salmonidae","f","c","a",62.6,29.75,1,28,"ATPase","myofibrillar ATPase",4,17,0.05,6,0.16,6,0.05,6,0.23,6,"in umol/mg protein x min","Oncorhynchus mykiss",0.0734846922834953,0.0489897948556636,-0.640699325334695,-0.640699325334695,20,"r2.1_sd",0.0244948974278318,0.14648605720294,"acclim"
"p002_o","Chordata","Actinopterygii","Salmoniformes","Salmonidae","f","c","a",62.6,29.75,1,28,"ATPase","myofibrillar ATPase",4,17,0.05,6,0.16,6,0.05,6,0.23,6,"in umol/mg protein x min","Oncorhynchus mykiss",0.0734846922834953,0.0489897948556636,-0.640699325334695,-0.640699325334695,21,"lnRR_Q10_acute_t1",0.894731392158216,0.0444711538461538,"acute"
"p002_o","Chordata","Actinopterygii","Salmoniformes","Salmonidae","f","c","a",62.6,29.75,1,28,"ATPase","myofibrillar ATPase",4,17,0.05,6,0.16,6,0.05,6,0.23,6,"in umol/mg protein x min","Oncorhynchus mykiss",0.0734846922834953,0.0489897948556636,-0.640699325334695,-0.640699325334695,22,"lnRR_Q10_acute_t2",1.17388946422696,0.0281428619366674,"acute"
"p002_o","Chordata","Actinopterygii","Salmoniformes","Salmonidae","f","c","a",62.6,29.75,1,28,"ATPase","myofibrillar ATPase",4,17,0.05,6,0.16,6,0.05,6,0.23,6,"in umol/mg protein x min","Oncorhynchus mykiss",0.0734846922834953,0.0489897948556636,-0.640699325334695,-0.640699325334695,23,"lnRR_Q10_acclim",1.17388946422696,0.0281428619366674,"acclim"
"p002_o","Chordata","Actinopterygii","Salmoniformes","Salmonidae","f","c","a",62.6,29.75,1,28,"ATPase","myofibrillar ATPase",4,17,0.05,6,0.16,6,0.05,6,0.23,6,"in umol/mg protein x min","Oncorhynchus mykiss",0.0734846922834953,0.0489897948556636,-0.640699325334695,-0.640699325334695,24,"lnVR_Q10_acute_t1",0.845086375898546,0.118343195266272,"acute"
"p002_o","Chordata","Actinopterygii","Salmoniformes","Salmonidae","f","c","a",62.6,29.75,1,28,"ATPase","myofibrillar ATPase",4,17,0.05,6,0.16,6,0.05,6,0.23,6,"in umol/mg protein x min","Oncorhynchus mykiss",0.0734846922834953,0.0489897948556636,-0.640699325334695,-0.640699325334695,25,"lnVR_Q10_acute_t2",0.533190138892266,0.118343195266272,"acute"
"p002_o","Chordata","Actinopterygii","Salmoniformes","Salmonidae","f","c","a",62.6,29.75,1,28,"ATPase","myofibrillar ATPase",4,17,0.05,6,0.16,6,0.05,6,0.23,6,"in umol/mg protein x min","Oncorhynchus mykiss",0.0734846922834953,0.0489897948556636,-0.640699325334695,-0.640699325334695,26,"lnVR_Q10_acclim",0.533190138892266,0.118343195266272,"acclim"
"p002_o","Chordata","Actinopterygii","Salmoniformes","Salmonidae","f","c","a",62.6,29.75,1,28,"ATPase","myofibrillar ATPase",4,17,0.05,6,0.16,6,0.05,6,0.23,6,"in umol/mg protein x min","Oncorhynchus mykiss",0.0734846922834953,0.0489897948556636,-0.640699325334695,-0.640699325334695,27,"lnCVR_Q10_acute_t1",-0.0496450162596701,0.162814349112426,"acute"
"p003_o","Mollusca","Bivalvia","Veneroida","Dreissenidae","f","w","a",42.854909,-78.917256,1,42,"rest_MR","MR",20,24,1.62,19,NA,NA,NA,NA,2.45,19,"ug/mg/h","Dreissena polymorpha",NA,0.479478883789474,NA,-0.53247794962548,28,"r1.1_sd",0.392300904918661,0.37911126279688,"acclim"
